geo_fips,year,pop,pop_change_yoy,pop_change_yoy_pct,pop_change_yoy_pct_diff,rank_pop,rank_pop_change_yoy,rank_pop_change_yoy_pct,rank_pop_change_yoy_pct_diff,state_name,state_abbr
00000,1929,121769000,,,,,,,,United States,US
01000,1929,2644000,,,,15,,,,Alabama,AL
04000,1929,430000,,,,44,,,,Arizona,AZ
05000,1929,1852000,,,,25,,,,Arkansas,AR
06000,1929,5531000,,,,6,,,,California,CA
08000,1929,1008000,,,,33,,,,Colorado,CO
09000,1929,1594000,,,,29,,,,Connecticut,CT
10000,1929,236000,,,,47,,,,Delaware,DE
11000,1929,483000,,,,41,,,,District of Columbia,DC
12000,1929,1445000,,,,31,,,,Florida,FL
13000,1929,2903000,,,,14,,,,Georgia,GA
16000,1929,447000,,,,43,,,,Idaho,ID
17000,1929,7606000,,,,3,,,,Illinois,IL
18000,1929,3226000,,,,11,,,,Indiana,IN
19000,1929,2460000,,,,19,,,,Iowa,IA
20000,1929,1867000,,,,24,,,,Kansas,KS
21000,1929,2606000,,,,16,,,,Kentucky,KY
22000,1929,2086000,,,,22,,,,Louisiana,LA
23000,1929,797000,,,,35,,,,Maine,ME
24000,1929,1621000,,,,28,,,,Maryland,MD
25000,1929,4229000,,,,8,,,,Massachusetts,MA
26000,1929,4795000,,,,7,,,,Michigan,MI
27000,1929,2572000,,,,18,,,,Minnesota,MN
28000,1929,1998000,,,,23,,,,Mississippi,MS
29000,1929,3622000,,,,10,,,,Missouri,MO
30000,1929,524000,,,,39,,,,Montana,MT
31000,1929,1375000,,,,32,,,,Nebraska,NE
32000,1929,90000,,,,49,,,,Nevada,NV
33000,1929,467000,,,,42,,,,New Hampshire,NH
34000,1929,3989000,,,,9,,,,New Jersey,NJ
35000,1929,420000,,,,45,,,,New Mexico,NM
36000,1929,12171000,,,,1,,,,New York,NY
37000,1929,3133000,,,,12,,,,North Carolina,NC
38000,1929,674000,,,,38,,,,North Dakota,ND
39000,1929,6626000,,,,4,,,,Ohio,OH
40000,1929,2372000,,,,21,,,,Oklahoma,OK
41000,1929,947000,,,,34,,,,Oregon,OR
42000,1929,9723000,,,,2,,,,Pennsylvania,PA
44000,1929,684000,,,,37,,,,Rhode Island,RI
45000,1929,1739000,,,,26,,,,South Carolina,SC
46000,1929,690000,,,,36,,,,South Dakota,SD
47000,1929,2604000,,,,17,,,,Tennessee,TN
48000,1929,5762000,,,,5,,,,Texas,TX
49000,1929,508000,,,,40,,,,Utah,UT
50000,1929,359000,,,,46,,,,Vermont,VT
51000,1929,2425000,,,,20,,,,Virginia,VA
53000,1929,1555000,,,,30,,,,Washington,WA
54000,1929,1717000,,,,27,,,,West Virginia,WV
55000,1929,2934000,,,,13,,,,Wisconsin,WI
56000,1929,223000,,,,48,,,,Wyoming,WY
00000,1930,123075000,1306000,0.010725225632139544,0,,,,,United States,US
01000,1930,2647000,3000,0.0011346444780635401,-0.009590581154076003,15,25,45,45,Alabama,AL
04000,1930,434000,4000,0.009302325581395349,-0.0014229000507441948,44,24,19,19,Arizona,AZ
05000,1930,1859000,7000,0.003779697624190065,-0.006945528007949479,25,21,36,36,Arkansas,AR
06000,1930,5711000,180000,0.03254384378954981,0.021818618157410267,6,2,2,2,California,CA
08000,1930,1040000,32000,0.031746031746031744,0.0210208061138922,33,9,3,3,Colorado,CO
09000,1930,1613000,19000,0.01191969887076537,0.0011944732386258271,29,14,13,13,Connecticut,CT
10000,1930,239000,3000,0.012711864406779662,0.0019866387746401183,47,25,11,11,Delaware,DE
11000,1930,488000,5000,0.010351966873706004,-3.732587584335395e-4,41,23,16,16,District of Columbia,DC
12000,1930,1471000,26000,0.017993079584775088,0.007267853952635545,31,11,7,7,Florida,FL
